Stock,Latest action,Price/level,Summary,First suggested,Last suggested,Times suggested (days),Action history,All dates
Laurus Labs,Hold,,Never sell; strong pharma name.,2026-01-29,2026-06-30,12,"Buy x6, Hold x5, Accumulate x1","2026-01-29,2026-02-10,2026-02-13,2026-03-19,2026-04-08,2026-04-30,2026-05-12,2026-05-22,2026-06-01,2026-06-04,2026-06-16,2026-06-30"
Infosys,Buy,,Buy with a long-term view.,2026-02-13,2026-06-30,7,"Buy x3, Sell x2, Hold x2","2026-02-13,2026-02-17,2026-04-13,2026-04-15,2026-04-30,2026-05-13,2026-06-30"
Bajaj Housing Finance,Buy,,Long-term good returns as loan book builds.,2026-02-13,2026-06-30,5,"Hold x1, Accumulate x1, Wait x1, Sell x1, Buy x1","2026-02-13,2026-03-25,2026-04-06,2026-06-16,2026-06-30"
SBI Cards,Sell,exit 630-640 on relief rally,Weak since listing; switch to parent SBI.,2026-06-05,2026-06-30,2,"Reduce x1, Sell x1","2026-06-05,2026-06-30"
Rainbow Children's Medicare,Accumulate,1275-1300 (on dips),Good long-term bet but won't outperform hugely; buy on correction.,2026-06-30,2026-06-30,1,Accumulate x1,2026-06-30
Capital Infra Trust,Accumulate,,High-yield InvIT income play; review every 6 months.,2026-06-30,2026-06-30,1,Accumulate x1,2026-06-30
PG InvIT,Buy,,"Second income InvIT to diversify into (~12% yield, quarterly).",2026-06-30,2026-06-30,1,Buy x1,2026-06-30
Enter Technologies,Add,on dips after Q1 results,Valuations stretched but strong momentum; add on dips.,2026-06-30,2026-06-30,1,Add x1,2026-06-30
Aditya Infotech,Watch,~120 PE; wait for dips,Extremely strong chart but too expensive to chase now.,2026-06-30,2026-06-30,1,Watch x1,2026-06-30
Just Dial,Sell,exit 580-590 in rallies,"Ambani-owned, weak counter with AI/quick-commerce headwinds.",2026-06-30,2026-06-30,1,Sell x1,2026-06-30
Infollion Research Services,Avoid,,Micro SME stock near 52-week low; not for small investors.,2026-06-30,2026-06-30,1,Avoid x1,2026-06-30
KCP Sugar,Sell,exit in rallies,Sugar sector weak; avoidable.,2026-06-30,2026-06-30,1,Sell x1,2026-06-30
Hindustan Zinc,Watch,,Fresh shorts building but possibly a temporary bottom,2026-04-20,2026-06-29,2,"Hold x1, Watch x1","2026-04-20,2026-06-29"
IndiGo (InterGlobe Aviation),Watch,,Speculative longs building on lower crude / ATF hopes,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Hero MotoCorp,Watch,,Auto-sales numbers due this week,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Bajaj Auto,Watch,,Auto-sales numbers due this week,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
National Aluminium (NALCO),Watch,,Fresh shorts building but possibly a temporary bottom,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
HDFC Life Insurance,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Nykaa (FSN E-Commerce),Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Alkem Laboratories,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
ICICI Lombard General Insurance,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Vimta Labs,Hold,,"Hold; average only after Q results, not now",2026-03-18,2026-06-25,5,"Accumulate x2, Hold x2, Buy x1","2026-03-18,2026-05-06,2026-05-19,2026-06-04,2026-06-25"
Avanti Feeds,Hold,1040-1050 for safe zone,"Hold, don't sell at current levels",2026-02-13,2026-06-25,3,"Add x1, Watch x1, Hold x1","2026-02-13,2026-02-24,2026-06-25"
Bank of India,Hold,,Hold all banks; matter of time,2026-03-19,2026-06-25,2,"Buy x1, Hold x1","2026-03-19,2026-06-25"
Bharat Electronics (BEL),Add,,"Add on every decline, even now",2026-04-06,2026-06-25,2,"Buy on dips x1, Add x1","2026-04-06,2026-06-25"
Devyani International,Sell,,Exit on rallies; not a stock to average,2026-06-25,2026-06-25,1,Sell x1,2026-06-25
Fairchem Organics,Buy,,Recently active and strong in chemicals,2026-06-25,2026-06-25,1,Buy x1,2026-06-25
Himadri Speciality Chemical,Buy,,"Opportunity; will also perform, may take time",2026-06-25,2026-06-25,1,Buy x1,2026-06-25
Igarashi Motors,Watch,,"Auto-component micro-motors; wait for results, don't rush",2026-06-22,2026-06-22,1,Watch x1,2026-06-22
Ind Swift Labs,Watch,stop loss near 158-159; else wait till ~160,Near 52-week high after doubling; wait for results or buy with stop only if daring,2026-06-22,2026-06-22,1,Watch x1,2026-06-22
Olectra Greentech,Buy,,"Multibagger / 2-3 bagger potential; capacity expansion, electric trucks, BYD battery tie-up, old-bus replacement.",2026-02-06,2026-06-19,4,"Hold x2, Buy x2","2026-02-06,2026-03-16,2026-05-11,2026-06-19"
LIC,Watch,460-470 (near-medium term),"NSE stake ~Rs 5,400 cr (=10% of LIC mkt cap); signs of +10% once NSE issue factors into NAV.",2026-02-12,2026-06-19,3,"Hold x1, Accumulate x1, Watch x1","2026-02-12,2026-05-22,2026-06-19"
Mangalam Organics,Hold,,Not a great/wealth-creating stock; rises seasonally then falls. Hold.,2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Chennai Petroleum,Avoid,"~1,100",Only for positional trading; IOC/BPCL/HPCL are better bets for the future.,2026-06-19,2026-06-19,1,Avoid x1,2026-06-19
Moschip,Avoid,,"Don't buy large quantity now; range-bound, underperforming. Wait for June-end results.",2026-06-19,2026-06-19,1,Avoid x1,2026-06-19
IOC,Hold,,On-and-off performer; dividend play. Don't enter with great hopes.,2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Vintage Coffee,Hold,~150,"Speculative but fundamentally fine; Rs 10 paid-up, operator-driven. Hold; buying fresh is a gamble.",2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Canara Bank,Hold,125-145,"Narrow 125-145 band at ~6.5 PE; needs patience, should rally and cross 160 again.",2026-02-11,2026-06-18,9,"Add x3, Hold x3, Accumulate x2, Buy on dips x1","2026-02-11,2026-02-20,2026-04-06,2026-04-17,2026-04-29,2026-04-30,2026-05-20,2026-06-01,2026-06-18"
